-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2013 through 01/01/2021 
Location: Latitude  51.0432   Longitude 13.7383 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 212.42 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS
51.04321,13.73831,2013,05,13,    0.08,    5.89,   77.73,   98.97
51.04321,13.73831,2013,05,14,    0.11,    7.16,   75.64,   98.63
51.04321,13.73831,2013,05,15,    0.01,    8.12,   72.79,   97.97
51.04321,13.73831,2013,05,16,    0.07,    9.27,   74.68,   97.50
51.04321,13.73831,2013,05,17,    0.10,   10.49,   77.28,   97.45
51.04321,13.73831,2013,05,18,    7.69,    8.37,   83.06,   98.19
51.04321,13.73831,2013,05,19,    0.96,    8.87,   75.56,   98.23
51.04321,13.73831,2013,05,20,    0.99,    7.10,   73.76,   98.43
51.04321,13.73831,2013,05,21,    0.19,    6.87,   75.28,   98.52
51.04321,13.73831,2013,05,22,    3.90,    6.34,   87.46,   98.10
51.04321,13.73831,2013,05,23,    0.02,    4.65,   65.56,   98.26
51.04321,13.73831,2013,05,24,    0.17,    5.03,   70.94,   98.36
51.04321,13.73831,2013,05,25,    3.75,    5.77,   80.43,   98.34
51.04321,13.73831,2013,05,26,   10.85,    5.88,   92.38,   97.76
51.04321,13.73831,2013,05,27,    4.47,    6.91,   90.11,   98.06
51.04321,13.73831,2013,05,28,   14.52,    7.47,   93.34,   97.85
51.04321,13.73831,2013,05,29,    4.64,    8.07,   81.27,   97.55
51.04321,13.73831,2013,05,30,   21.25,    8.16,   94.51,   97.78
51.04321,13.73831,2013,05,31,    5.78,    9.45,   85.55,   97.44
51.04321,13.73831,2013,06,01,   24.17,    9.78,   94.26,   98.00
51.04321,13.73831,2013,06,02,   23.85,    8.14,   95.73,   98.72
51.04321,13.73831,2013,06,03,   17.49,    7.21,   90.17,   99.41
51.04321,13.73831,2013,06,04,    3.75,    8.00,   89.14,   99.36
51.04321,13.73831,2013,06,05,    0.03,    6.80,   72.87,   99.49
51.04321,13.73831,2013,06,06,    0.43,    9.37,   81.68,   99.59
51.04321,13.73831,2013,06,07,    1.95,   10.15,   76.66,   99.50
51.04321,13.73831,2013,06,08,    3.79,   10.65,   80.68,   99.12
51.04321,13.73831,2013,06,09,   13.55,   10.70,   90.86,   98.51
51.04321,13.73831,2013,06,10,    1.31,    9.05,   84.81,   98.41
51.04321,13.73831,2013,06,11,    0.00,    7.59,   67.27,   99.03
51.04321,13.73831,2013,06,12,    0.02,    8.42,   64.55,   99.40
51.04321,13.73831,2013,06,13,    0.03,   10.96,   74.72,   99.09
51.04321,13.73831,2013,06,14,    3.76,    8.48,   75.97,   99.31
51.04321,13.73831,2013,06,15,    0.01,    9.30,   76.66,   99.02
51.04321,13.73831,2013,06,16,    0.01,    8.74,   71.51,   99.15
51.04321,13.73831,2013,06,17,    0.04,   10.65,   72.03,   99.19
51.04321,13.73831,2013,06,18,    1.34,   15.16,   83.65,   99.06
51.04321,13.73831,2013,06,19,    0.40,   16.03,   82.43,   99.06
