-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2013 through 01/01/2021 
Location: Latitude  50.0837   Longitude 14.4963 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 337.97 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS
50.08371,14.49631,2013,09,18,    3.57,    6.39,   84.85,   95.97
50.08371,14.49631,2013,09,19,    1.15,    5.79,   75.21,   96.97
50.08371,14.49631,2013,09,20,    0.96,    6.71,   83.59,   97.46
50.08371,14.49631,2013,09,21,    1.38,    7.14,   82.79,   98.33
50.08371,14.49631,2013,09,22,    0.01,    6.59,   74.84,   98.54
50.08371,14.49631,2013,09,23,    0.32,    8.06,   77.68,   98.04
50.08371,14.49631,2013,09,24,    0.27,    7.88,   77.64,   97.58
50.08371,14.49631,2013,09,25,    0.14,    7.65,   82.60,   97.32
50.08371,14.49631,2013,09,26,    1.30,    7.22,   83.17,   97.26
50.08371,14.49631,2013,09,27,    0.02,    4.65,   66.45,   97.84
50.08371,14.49631,2013,09,28,    0.00,    4.64,   63.74,   97.65
50.08371,14.49631,2013,09,29,    0.00,    4.65,   67.19,   97.54
50.08371,14.49631,2013,09,30,    0.00,    4.37,   67.18,   97.32
50.08371,14.49631,2013,10,01,    0.00,    4.07,   69.73,   97.53
50.08371,14.49631,2013,10,02,    0.00,    3.56,   64.57,   98.36
50.08371,14.49631,2013,10,03,    0.00,    3.00,   57.28,   98.75
50.08371,14.49631,2013,10,04,    0.00,    3.10,   54.90,   98.43
50.08371,14.49631,2013,10,05,    0.04,    4.25,   69.09,   97.88
50.08371,14.49631,2013,10,06,    0.02,    5.57,   76.67,   98.29
50.08371,14.49631,2013,10,07,    0.04,    6.14,   79.29,   98.68
50.08371,14.49631,2013,10,08,    0.02,    5.81,   73.75,   98.43
50.08371,14.49631,2013,10,09,    0.03,    6.21,   78.52,   97.83
50.08371,14.49631,2013,10,10,   15.79,    6.78,   84.72,   96.76
50.08371,14.49631,2013,10,11,    9.39,    6.44,   92.50,   97.39
50.08371,14.49631,2013,10,12,    4.53,    6.23,   94.03,   97.82
50.08371,14.49631,2013,10,13,    1.08,    4.99,   79.92,   98.03
50.08371,14.49631,2013,10,14,    0.01,    5.52,   82.65,   98.02
50.08371,14.49631,2013,10,15,    1.16,    6.38,   92.86,   97.22
50.08371,14.49631,2013,10,16,    1.77,    5.63,   88.12,   97.18
50.08371,14.49631,2013,10,17,    1.38,    5.93,   85.88,   97.34
50.08371,14.49631,2013,10,18,    1.68,    5.96,   84.07,   97.74
50.08371,14.49631,2013,10,19,    0.01,    5.50,   83.73,   97.84
50.08371,14.49631,2013,10,20,    6.46,    8.05,   88.62,   97.68
50.08371,14.49631,2013,10,21,    0.05,    8.01,   84.53,   97.78
50.08371,14.49631,2013,10,22,    0.02,    8.14,   83.24,   97.63
50.08371,14.49631,2013,10,23,    0.35,    8.49,   89.14,   97.24
50.08371,14.49631,2013,10,24,    0.64,    8.14,   83.05,   97.89
50.08371,14.49631,2013,10,25,    0.09,    7.89,   97.87,   97.94
50.08371,14.49631,2013,10,26,    0.08,    8.05,   85.62,   97.67
50.08371,14.49631,2013,10,27,    0.30,    8.15,   80.12,   97.15
50.08371,14.49631,2013,10,28,    0.22,    7.65,   75.72,   96.82
50.08371,14.49631,2013,10,29,    0.40,    6.29,   78.77,   97.44
50.08371,14.49631,2013,10,30,    0.04,    4.74,   73.17,   98.24
50.08371,14.49631,2013,10,31,    0.00,    4.10,   74.84,   98.53
50.08371,14.49631,2013,11,01,    0.01,    4.75,   91.85,   97.91
50.08371,14.49631,2013,11,02,    2.04,    6.77,   97.45,   96.84
50.08371,14.49631,2013,11,03,    7.44,    6.29,   91.18,   96.49
50.08371,14.49631,2013,11,04,    0.32,    5.13,   75.44,   95.85
50.08371,14.49631,2013,11,05,    0.47,    4.82,   86.44,   95.82
50.08371,14.49631,2013,11,06,    4.98,    4.91,   85.96,   96.06
50.08371,14.49631,2013,11,07,    1.72,    7.48,   88.67,   96.84
50.08371,14.49631,2013,11,08,    0.66,    7.40,   91.62,   97.04
50.08371,14.49631,2013,11,09,    4.35,    5.88,   86.14,   97.06
50.08371,14.49631,2013,11,10,    5.54,    5.03,   91.13,   96.72
50.08371,14.49631,2013,11,11,    0.44,    4.51,   92.30,   98.52
50.08371,14.49631,2013,11,12,    0.02,    3.84,   85.50,   98.66
50.08371,14.49631,2013,11,13,    0.32,    4.23,   94.24,   98.69
50.08371,14.49631,2013,11,14,    0.29,    3.83,   89.66,   98.15
50.08371,14.49631,2013,11,15,    0.46,    3.92,   92.43,   98.50
50.08371,14.49631,2013,11,16,    0.03,    4.24,   88.52,   98.83
50.08371,14.49631,2013,11,17,    0.02,    4.27,   92.38,   98.36
50.08371,14.49631,2013,11,18,    0.06,    4.64,   94.73,   97.34
50.08371,14.49631,2013,11,19,    0.40,    4.86,   95.72,   96.61
50.08371,14.49631,2013,11,20,    2.55,    4.61,   94.65,   96.08
50.08371,14.49631,2013,11,21,    2.08,    4.17,   96.03,   96.17
50.08371,14.49631,2013,11,22,    0.27,    4.90,   93.74,   96.54
50.08371,14.49631,2013,11,23,    0.37,    4.98,   94.29,   97.23
50.08371,14.49631,2013,11,24,    0.63,    4.27,   91.05,   97.42
50.08371,14.49631,2013,11,25,    0.12,    2.87,   84.23,   98.15
50.08371,14.49631,2013,11,26,    0.28,    2.90,   88.91,   98.74
50.08371,14.49631,2013,11,27,    0.04,    2.51,   79.59,   99.03
50.08371,14.49631,2013,11,28,    0.88,    3.57,   91.14,   98.53
50.08371,14.49631,2013,11,29,    2.63,    4.07,   94.73,   97.87
50.08371,14.49631,2013,11,30,    0.62,    3.85,   95.47,   97.49
50.08371,14.49631,2013,12,01,    0.22,    3.99,   94.84,   98.48
50.08371,14.49631,2013,12,02,    0.10,    3.73,   91.63,   99.22
50.08371,14.49631,2013,12,03,    0.00,    3.07,   92.68,   98.95
50.08371,14.49631,2013,12,04,    0.44,    3.00,   87.40,   98.20
50.08371,14.49631,2013,12,05,    2.56,    3.68,   87.82,   97.64
50.08371,14.49631,2013,12,06,    1.58,    3.09,   75.72,   96.77
50.08371,14.49631,2013,12,07,    1.23,    3.14,   83.34,   97.82
50.08371,14.49631,2013,12,08,    1.39,    4.07,   94.85,   98.20
50.08371,14.49631,2013,12,09,    5.15,    4.70,   93.55,   98.27
